OrderID,Date,Region,Product,CustomerType,Sales,Profit,Quantity,Discount
1001,2024-01-02,North,Laptop,New,50000,8000,2,0.1
1002,2024-01-03,South,Phone,Returning,20000,3000,3,0.05
1003,2024-01-04,West,Tablet,New,15000,2000,1,0.2
1004,2024-01-05,East,Laptop,Returning,55000,9000,2,0.15
1005,2024-01-06,North,Phone,New,22000,3500,2,0.05
1006,2024-01-07,South,Tablet,Returning,18000,2500,1,0.1
1007,2024-01-08,West,Laptop,New,60000,10000,3,0.2
1008,2024-01-09,East,Phone,Returning,21000,3200,2,0.05
1009,2024-01-10,North,Tablet,New,17000,2300,1,0.1
1010,2024-01-11,South,Laptop,Returning,58000,8500,2,0.15
